Arquivo;Revisão
testeporra.xml;
7A-I-2-3-22;1
7A-I-2-3-20;1
7A-I-1-4-11;1
7A-I-1-4-10;2
7A-I-1-3-15;1
7A-I-1-3-14;1
7A-I-1-3-13;1
7A-I-1-3-12;1
7A-I-1-3-11;2
7A-I-1-3-10;1
7A-I-0-7-06;0
7A-I-0-7-05;0
7A-I-0-7-04;4
7A-I-0-7-03;1
7A-I-0-7-02;0
7A-I-0-7-01;0
7A-I-0-3-28;2
7A-I-0-3-27;1
7A-I-0-3-26;4A
7A-I-0-3-25;0
7A-I-0-3-24;2
7A-I-0-3-23;0
7A-I-0-3-21;2
7A-I-0-3-20;1
7A-I-0-3-19;1
7A-I-0-3-18;1
7A-I-0-3-17;1
7A-I-0-3-16;1
7A-I-0-3-14;0
7A-I-0-3-13;1
7A-I-0-3-12;1
7A-I-0-3-11;0
7A-I-0-3-10;4
7A-I-0-3-09;0
7A-I-0-3-08;1
7A-I-0-3-07;0
7A-I-0-3-06;2
7A-I-0-3-05;0
7A-I-0-3-04;0
7A-I-0-3-03;1
7A-I-0-3-02;1
7A-I-0-3-01;1
7A-I-0-1-01;4
7A-I-0-0-01;0
07-M-0-5-01;0
07-I-0-8-03;1
07-I-0-8-02;1
07-I-0-8-01;1
07-I-0-6-03;0
07-I-0-6-02;0
07-I-0-6-01;0
07-I-0-3-01;0
